Xe_index,PTE
250.0,0.003014
252.0,0.0029872
254.0,0.0030676
256.0,0.003075
258.0,0.0030302
260.0,0.0030734
262.0,0.0030692
264.0,0.0030568
266.0,0.0030002
268.0,0.0030598
270.0,0.0030372
272.0,0.0030822
274.0,0.0030284
276.0,0.0030042
278.0,0.0030734
280.0,0.0030436
282.0,0.0030372
284.0,0.0030584
286.0,0.0030618
288.0,0.0030062
290.0,0.0030624
292.0,0.0030764
294.0,0.003047
296.0,0.0030536
298.0,0.0030346
300.0,0.0030654
302.0,0.0030378
304.0,0.0030368
306.0,0.0030326
308.0,0.0030314
310.0,0.003086
312.0,0.0030446
314.0,0.0030494
316.0,0.0030496
318.0,0.0030822
320.0,0.003056
322.0,0.003046
324.0,0.003064
326.0,0.0030352
328.0,0.0031174
330.0,0.0030352
332.0,0.0030454
334.0,0.0030656
336.0,0.0030416
338.0,0.0031196
340.0,0.0030388
342.0,0.0030048
344.0,0.0030354
346.0,0.0030642
348.0,0.003069
350.0,0.0029922
352.0,0.0030306
354.0,0.0030526
356.0,0.0030848
358.0,0.003012
360.0,0.0030052
362.0,0.0030404
364.0,0.003042
366.0,0.0030404
368.0,0.0030702
370.0,0.0030906
372.0,0.0030544
374.0,0.00304
376.0,0.003023
378.0,0.003013
380.0,0.0030722
382.0,0.0030032
384.0,0.0030776
386.0,0.0030394
388.0,0.0030644
390.0,0.0030434
392.0,0.0030224
394.0,0.0030032
396.0,0.0030684
398.0,0.0030338
400.0,0.0030764
402.0,0.0030956
404.0,0.003087
406.0,0.0030658
408.0,0.0030088
410.0,0.003022
412.0,0.0030484
414.0,0.0029874
416.0,0.0030096
418.0,0.0030688
420.0,0.0030644
422.0,0.0029832
424.0,0.003067
426.0,0.003062
428.0,0.0030078
430.0,0.0030746
432.0,0.0030542
434.0,0.003057
436.0,0.0030324
438.0,0.0030938
440.0,0.0030078
442.0,0.0030664
444.0,0.0030734
446.0,0.0030382
448.0,0.0030508
450.0,0.0030376
