Xe_index,PTE
0.0,0.0018536
0.02040816326530612,0.0018
0.04081632653061224,0.0018666
0.061224489795918366,0.0018376
0.08163265306122448,0.0018264
0.1020408163265306,0.00186
0.0,0.001866
0.0,0.0018656
0.0,0.0018224
0.02,0.0017704
0.04,0.0018564
0.06,0.0018288
0.08,0.0018116
0.1,0.0018364
0.12,0.00182
0.14,0.0018732
0.16,0.0017832
0.18,0.0017848
0.2,0.0018084
0.22,0.00182
0.24,0.0018788
0.26,0.0018264
0.28,0.001814
0.3,0.0018928
0.32,0.0018552
0.33999999999999997,0.0018052
0.36,0.0018312
0.38,0.0018548
0.4,0.00186
0.42000000000000004,0.0018156
0.44,0.0018444
0.45999999999999996,0.0017876
0.48,0.0018512
0.5,0.0018092
0.52,0.0018072
0.54,0.0018088
0.56,0.0018308
0.58,0.0018652
0.6,0.0018208
0.62,0.0018008
0.64,0.001834
0.66,0.0018028
0.68,0.0018252
0.7,0.0018312
0.72,0.0018956
0.74,0.0017576
0.76,0.0017888
0.78,0.0017788
0.8,0.0018412
0.8200000000000001,0.0018284
0.84,0.001818
0.86,0.0017876
0.88,0.0018324
0.9,0.001844
0.92,0.0017892
0.94,0.0017968
0.96,0.001808
0.98,0.001828
1.0,0.0018564
