scattering_length,PTE_value
100,0.0022853
102,0.0022926
104,0.002303
106,0.0023168
108,0.0023257
110,0.0023319
112,0.00234
114,0.0023437
116,0.0023517
118,0.002351
120,0.0023702
122,0.0023752
124,0.00238
126,0.0023884
128,0.0023976
130,0.0024096
132,0.0024236
134,0.0024298
136,0.0024341
138,0.0024341
140,0.0024439
142,0.0024547
144,0.0024552
146,0.0024671
148,0.0024695
150,0.0024763
152,0.0024724
154,0.0024755
156,0.0024809
158,0.0024859
160,0.0024889
162,0.0024937
164,0.0024991
166,0.0025034
168,0.0024992
170,0.0025036
172,0.0025056
174,0.0025082
176,0.0025112
178,0.0025188
180,0.002523
182,0.0025269
184,0.0025344
186,0.0025319
188,0.0025365
190,0.0025387
192,0.0025454
194,0.0025497
196,0.0025535
198,0.0025542
200,0.0025532
202,0.0025608
204,0.0025645
206,0.0025655
208,0.0025687
210,0.0025723
212,0.0025708
214,0.0025731
216,0.0025795
218,0.0025849
220,0.0025873
222,0.0025937
224,0.0025959
226,0.0025957
228,0.0025974
230,0.002598
232,0.0026051
234,0.0026069
236,0.002609
238,0.0026099
240,0.0026145
242,0.0026155
244,0.0026178
246,0.0026177
248,0.0026182
250,0.0026213
252,0.0026233
254,0.0026236
256,0.0026273
258,0.0026295
260,0.002634
262,0.0026363
264,0.0026387
266,0.0026428
268,0.0026397
270,0.0026419
272,0.0026417
274,0.0026413
276,0.0026468
278,0.0026471
280,0.0026505
282,0.0026488
284,0.0026521
286,0.0026529
288,0.002653
290,0.0026523
292,0.0026522
294,0.002656
296,0.0026575
298,0.0026596
300,0.0026613
302,0.0026596
304,0.0026633
306,0.0026647
308,0.0026661
310,0.0026674
312,0.0026677
314,0.0026706
316,0.0026708
318,0.0026743
320,0.0026761
322,0.0026765
324,0.002679
326,0.0026829
328,0.002684
330,0.0026866
332,0.0026847
334,0.0026858
336,0.0026836
338,0.0026855
340,0.0026887
342,0.0026898
344,0.0026903
346,0.0026925
348,0.0026934
350,0.0026938
352,0.0026925
354,0.0026929
356,0.0026934
358,0.0026928
360,0.0026947
362,0.0026947
364,0.0026935
366,0.002692
368,0.0026931
370,0.002695
372,0.0026932
374,0.0026934
376,0.0026955
378,0.0026969
380,0.0026984
382,0.0027012
384,0.0027015
386,0.0027031
388,0.0027031
390,0.0027037
392,0.0027043
394,0.0027025
396,0.0027033
398,0.0027046
400,0.0027043
