run_id,k_si,n_si,spec_r,pte_half,pte_half_err
1,0.5,0.5,0.0,0.003027,5.5018178813915674e-05
2,0.5,0.5,0.25,0.003433,5.859180830116101e-05
3,0.5,0.5,0.5,0.003818,6.178996682310163e-05
4,0.5,0.5,0.75,0.004202,6.482283548256742e-05
5,0.5,0.5,1.0,0.004562,6.754257916307313e-05
6,0.725,0.5,0.0,0.00296,5.4405882034941774e-05
7,0.725,0.5,0.25,0.003346,5.7844619455918286e-05
8,0.725,0.5,0.5,0.00371,6.090976933136425e-05
9,0.725,0.5,0.75,0.004062,6.373382147651277e-05
10,0.725,0.5,1.0,0.004384,6.621178142898739e-05
11,0.95,0.5,0.0,0.002954,5.435071296680477e-05
12,0.95,0.5,0.25,0.003337,5.776677245614471e-05
13,0.95,0.5,0.5,0.003687,6.072067193304106e-05
14,0.95,0.5,0.75,0.004042,6.357672530100933e-05
15,0.95,0.5,1.0,0.004377,6.615889962809237e-05
16,1.1749999999999998,0.5,0.0,0.002972,5.451605268175604e-05
17,1.1749999999999998,0.5,0.25,0.003369,5.80430874437258e-05
18,1.1749999999999998,0.5,0.5,0.003719,6.09836043539573e-05
19,1.1749999999999998,0.5,0.75,0.004077,6.385138996137829e-05
20,1.1749999999999998,0.5,1.0,0.004436,6.660330322138685e-05
21,1.4,0.5,0.0,0.003007,5.483611948342078e-05
22,1.4,0.5,0.25,0.003402,5.832666628567074e-05
23,1.4,0.5,0.5,0.003795,6.160357132504576e-05
24,1.4,0.5,0.75,0.004175,6.461423991660042e-05
25,1.4,0.5,1.0,0.004546,6.742403132415029e-05
