k_si,n_si,pte_8,pte_8_error,pte_4,pte_4_error
0.74,1.71,0.001489,2.7285527299284508e-05,0.0013995,2.64527881328226e-05
0.74,1.7317647058823529,0.0014835,2.7235087662792643e-05,0.001397,2.6429150572805022e-05
0.74,1.7535294117647058,0.0014775,2.7179955849853764e-05,0.0013945,2.6405491853021787e-05
0.74,1.775294117647059,0.001475,2.715695122800054e-05,0.0013905,2.636759374687042e-05
0.74,1.7970588235294118,0.001471,2.7120103244641235e-05,0.0013865,2.632964109136317e-05
0.74,1.8188235294117647,0.001467,2.7083205127901682e-05,0.0013835,2.6301140659674817e-05
0.74,1.8405882352941176,0.001467,2.7083205127901682e-05,0.0013835,2.6301140659674817e-05
0.74,1.8623529411764705,0.001465,2.7064737205448715e-05,0.001382,2.628687885618983e-05
0.74,1.8841176470588235,0.0014645,2.7060118255469617e-05,0.001382,2.628687885618983e-05
0.74,1.9058823529411764,0.001463,2.7046256672597044e-05,0.0013805,2.6272609310839304e-05
0.74,1.9276470588235295,0.0014615,2.703238798182654e-05,0.0013785,2.6253571185650153e-05
0.74,1.9494117647058824,0.0014615,2.703238798182654e-05,0.001378,2.6248809496813375e-05
0.74,1.9711764705882353,0.00146,2.701851217221259e-05,0.001377,2.6239283526803852e-05
0.74,1.9929411764705882,0.0014595,2.70138853184802e-05,0.0013775,2.624404694402142e-05
0.74,2.014705882352941,0.0014605,2.7023138233743322e-05,0.001378,2.6248809496813375e-05
0.74,2.0364705882352943,0.0014595,2.70138853184802e-05,0.001378,2.6248809496813375e-05
0.74,2.058235294117647,0.001463,2.7046256672597044e-05,0.0013795,2.6263091973337792e-05
0.74,2.08,0.001465,2.7064737205448715e-05,0.001381,2.6277366686941823e-05
0.76,1.71,0.0015025,2.7408940147331492e-05,0.001408,2.65329983228432e-05
0.76,1.7317647058823529,0.001494,2.7331300737432898e-05,0.001406,2.6514147167125702e-05
0.76,1.7535294117647058,0.001491,2.7303845882952092e-05,0.0014015,2.6471682983898096e-05
0.76,1.775294117647059,0.0014865,2.726261176043117e-05,0.001397,2.6429150572805022e-05
0.76,1.7970588235294118,0.001483,2.7230497608380206e-05,0.0013935,2.6396022427631024e-05
0.76,1.8188235294117647,0.0014785,2.7189152248645047e-05,0.0013915,2.637707337821996e-05
0.76,1.8405882352941176,0.0014755,2.7161553711082142e-05,0.001388,2.6343879744638983e-05
0.76,1.8623529411764705,0.0014725,2.713392710243027e-05,0.001386,2.6324893162176367e-05
0.76,1.8841176470588235,0.0014725,2.713392710243027e-05,0.0013845,2.6310644233845738e-05
0.76,1.9058823529411764,0.0014715,2.7124711980037687e-05,0.001384,2.630589287593181e-05
0.76,1.9276470588235295,0.0014715,2.7124711980037687e-05,0.001384,2.630589287593181e-05
0.76,1.9494117647058824,0.001471,2.7120103244641235e-05,0.001384,2.630589287593181e-05
0.76,1.9711764705882353,0.0014705,2.7115493725912497e-05,0.0013835,2.6301140659674817e-05
0.76,1.9929411764705882,0.001471,2.7120103244641235e-05,0.001383,2.6296387584609413e-05
0.76,2.014705882352941,0.0014705,2.7115493725912497e-05,0.0013835,2.6301140659674817e-05
0.76,2.0364705882352943,0.0014705,2.7115493725912497e-05,0.0013835,2.6301140659674817e-05
0.76,2.058235294117647,0.0014705,2.7115493725912497e-05,0.0013845,2.6310644233845738e-05
0.76,2.08,0.001471,2.7120103244641235e-05,0.0013855,2.632014437650371e-05
0.78,1.71,0.001512,2.749545416973504e-05,0.001414,2.658947160061666e-05
0.78,1.7317647058823529,0.0015045,2.7427176303804956e-05,0.0014095,2.654712790491657e-05
0.78,1.7535294117647058,0.001502,2.740437921208944e-05,0.0014075,2.652828678976462e-05
0.78,1.775294117647059,0.001496,2.7349588662354686e-05,0.0014055,2.6509432283623126e-05
0.78,1.7970588235294118,0.0014915,2.730842360884275e-05,0.0014025,2.648112535373072e-05
0.78,1.8188235294117647,0.0014895,2.7290108097990375e-05,0.001398,2.643860813280457e-05
0.78,1.8405882352941176,0.001487,2.726719640887196e-05,0.001396,2.6419689627245814e-05
0.78,1.8623529411764705,0.001485,2.7248853186877427e-05,0.0013935,2.6396022427631024e-05
0.78,1.8841176470588235,0.0014835,2.7235087662792643e-05,0.001392,2.638181191654584e-05
0.78,1.9058823529411764,0.0014835,2.7235087662792643e-05,0.0013915,2.637707337821996e-05
0.78,1.9276470588235295,0.00148,2.7202941017470887e-05,0.001389,2.635336790620888e-05
0.78,1.9494117647058824,0.00148,2.7202941017470887e-05,0.001389,2.635336790620888e-05
0.78,1.9711764705882353,0.001479,2.7193749281774296e-05,0.001389,2.635336790620888e-05
0.78,1.9929411764705882,0.001479,2.7193749281774296e-05,0.0013885,2.6348624252510794e-05
0.78,2.014705882352941,0.0014785,2.7189152248645047e-05,0.0013885,2.6348624252510794e-05
