run_id,k_si,n_si,spec_r,pte_8,pte_8_error
1,0.5,0.5,0.0,0.00224,0.00014966629547095766
2,0.5,0.5,0.041666666666666664,0.0024,0.0001549193338482967
3,0.5,0.5,0.08333333333333333,0.00248,0.00015748015748023623
4,0.5,0.5,0.125,0.00254,0.00015937377450509228
5,0.5,0.5,0.16666666666666666,0.00263,0.00016217274740226855
6,0.5,0.5,0.20833333333333331,0.00269,0.00016401219466856726
7,0.5,0.5,0.25,0.00279,0.00016703293088490067
8,0.5,0.5,0.29166666666666663,0.00284,0.00016852299546352717
9,0.5,0.5,0.3333333333333333,0.00288,0.0001697056274847714
10,0.5,0.5,0.375,0.00294,0.00017146428199482248
11,0.5,0.5,0.41666666666666663,0.00299,0.00017291616465790584
12,0.5,0.5,0.4583333333333333,0.00312,0.00017663521732655694
13,0.5,0.5,0.5,0.00329,0.00018138357147217052
14,0.5,0.5,0.5416666666666666,0.00335,0.00018303005217723125
15,0.5,0.5,0.5833333333333333,0.00341,0.00018466185312619387
16,0.5,0.5,0.625,0.00351,0.00018734993995195192
17,0.5,0.5,0.6666666666666666,0.00358,0.00018920887928424503
18,0.5,0.5,0.7083333333333333,0.00365,0.000191049731745428
19,0.5,0.5,0.75,0.00366,0.00019131126469708993
20,0.5,0.5,0.7916666666666666,0.00373,0.00019313207915827967
21,0.5,0.5,0.8333333333333333,0.00382,0.00019544820285692066
22,0.5,0.5,0.875,0.00395,0.0001987460691435179
23,0.5,0.5,0.9166666666666666,0.00397,0.00019924858845171275
24,0.5,0.5,0.9583333333333333,0.00408,0.00020199009876724155
25,0.5,0.5,1.0,0.00412,0.00020297783130184438
26,0.5375,0.5,0.0,0.00221,0.00014866068747318507
27,0.5375,0.5,0.041666666666666664,0.00234,0.00015297058540778355
28,0.5375,0.5,0.08333333333333333,0.00241,0.00015524174696260025
29,0.5375,0.5,0.125,0.00247,0.0001571623364550171
30,0.5375,0.5,0.16666666666666666,0.00255,0.00015968719422671313
31,0.5375,0.5,0.20833333333333331,0.00261,0.00016155494421403512
32,0.5375,0.5,0.25,0.00273,0.00016522711641858305
33,0.5375,0.5,0.29166666666666663,0.00278,0.00016673332000533066
34,0.5375,0.5,0.3333333333333333,0.00282,0.00016792855623746665
35,0.5375,0.5,0.375,0.00288,0.0001697056274847714
36,0.5375,0.5,0.41666666666666663,0.00293,0.0001711724276862369
37,0.5375,0.5,0.4583333333333333,0.00307,0.00017521415467935231
38,0.5375,0.5,0.5,0.00324,0.00018
39,0.5375,0.5,0.5416666666666666,0.0033,0.00018165902124584948
40,0.5375,0.5,0.5833333333333333,0.00336,0.00018330302779823358
41,0.5375,0.5,0.625,0.00346,0.00018601075237738274
42,0.5375,0.5,0.6666666666666666,0.00353,0.00018788294228055935
43,0.5375,0.5,0.7083333333333333,0.0036,0.00018973665961010276
44,0.5375,0.5,0.75,0.00361,0.00019
45,0.5375,0.5,0.7916666666666666,0.00368,0.00019183326093250876
46,0.5375,0.5,0.8333333333333333,0.00376,0.00019390719429665317
47,0.5375,0.5,0.875,0.0039,0.00019748417658131497
48,0.5375,0.5,0.9166666666666666,0.00391,0.0001977371993328519
49,0.5375,0.5,0.9583333333333333,0.00402,0.00020049937655763423
50,0.5375,0.5,1.0,0.00406,0.00020149441679609886
51,0.575,0.5,0.0,0.00218,0.000147648230602334
52,0.575,0.5,0.041666666666666664,0.00232,0.00015231546211727818
53,0.575,0.5,0.08333333333333333,0.00239,0.00015459624833740306
54,0.575,0.5,0.125,0.00245,0.00015652475842498528
55,0.575,0.5,0.16666666666666666,0.00253,0.00015905973720586867
56,0.575,0.5,0.20833333333333331,0.00258,0.0001606237840420901
57,0.575,0.5,0.25,0.0027,0.00016431676725154983
58,0.575,0.5,0.29166666666666663,0.00275,0.00016583123951777
